time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
1.033859,5,304.028,21.970,2165.152,88.671,3059.800,425.198,3271.970,742.853,4239.458,1375.188
1.040109,5,309.266,20.047,2213.117,147.966,2995.817,994.511,3266.697,349.730,4163.665,1133.098
1.046359,5,313.028,20.899,2259.200,175.556,2964.787,2046.328,3169.726,253.935,4032.782,1196.740
1.052609,5,311.339,16.434,2204.840,158.226,2862.927,705.000,3289.451,349.844,4242.012,1026.138
1.058859,5,308.623,22.762,2211.503,126.155,2790.945,482.319,3339.500,258.932,4275.824,880.798
1.065109,5,305.700,19.517,2184.578,130.693,2800.069,411.126,3260.576,241.731,4300.176,1364.047
1.071359,5,307.378,15.518,2158.671,166.840,2656.139,514.385,3219.587,213.790,4306.617,984.803
1.077609,5,307.428,20.083,2202.366,203.857,2516.713,793.610,3198.974,195.516,4393.488,770.232
1.083859,4,305.064,20.218,2208.375,183.092,2797.156,1015.113,3224.575,205.213,--undefined--,--undefined--
1.090109,4,305.094,24.666,2226.885,162.640,3173.924,371.351,3309.149,735.161,--undefined--,--undefined--
1.096359,5,305.560,26.083,2249.707,229.178,3229.781,332.774,3563.683,2775.835,3616.707,1488.987
1.102609,4,306.088,21.551,2199.708,182.591,3075.042,475.793,3337.242,795.545,--undefined--,--undefined--
1.108859,4,308.743,25.211,2182.374,228.340,2901.698,386.346,3387.001,383.207,--undefined--,--undefined--
1.115109,5,309.857,28.106,2227.238,304.897,2919.689,554.311,3313.366,448.477,4377.625,2535.612
1.121359,4,312.072,30.259,2258.160,166.918,3043.890,453.959,3403.887,269.297,--undefined--,--undefined--
1.127609,4,315.667,29.826,2301.613,290.197,3010.151,502.704,3351.611,281.652,--undefined--,--undefined--
1.133859,4,314.971,32.527,2266.468,235.200,3052.893,382.116,3399.841,386.227,--undefined--,--undefined--
1.140109,4,315.782,32.642,2237.096,132.593,3203.690,274.348,3384.718,819.952,--undefined--,--undefined--
1.146359,4,317.561,30.837,2250.767,160.784,3177.991,253.454,3334.296,954.049,--undefined--,--undefined--
1.152609,4,317.196,40.500,2266.859,165.825,3125.648,187.094,3485.194,717.026,--undefined--,--undefined--
1.158859,4,309.911,44.695,2262.144,281.630,3149.199,138.461,3651.121,1018.083,--undefined--,--undefined--
1.165109,5,306.010,53.419,2235.091,231.738,3190.275,209.346,3348.428,2768.407,4325.520,2188.844
1.171359,5,303.239,62.177,2253.308,298.905,3029.175,1840.657,3192.870,215.332,4729.352,2427.051
1.177609,5,296.539,62.505,2282.525,759.756,2582.981,1420.229,3190.340,190.137,4606.465,1425.457
1.183859,4,299.781,85.160,2286.967,397.390,3122.562,200.789,3702.385,2280.653,--undefined--,--undefined--
1.190109,4,304.185,89.372,2337.563,265.404,3084.614,281.398,3945.232,1377.796,--undefined--,--undefined--
1.196359,5,303.139,65.512,2294.988,211.264,2422.524,5251.385,3189.972,260.053,4035.103,1049.750
1.202609,4,305.227,66.742,2203.951,249.702,3169.986,221.266,3928.076,1543.219,--undefined--,--undefined--
1.208859,4,307.588,69.424,2270.547,548.727,3145.160,203.553,3367.339,1571.886,--undefined--,--undefined--
1.215109,4,310.303,83.411,2273.489,402.151,3164.439,197.938,3783.402,1846.791,--undefined--,--undefined--
1.221359,5,306.793,85.763,2252.258,422.089,2636.051,4384.894,3198.527,200.305,4498.992,2048.140
1.227609,5,304.846,71.805,2196.532,3886.351,2292.036,269.279,3233.765,136.684,4467.149,1891.696
1.233859,4,307.336,83.037,2231.175,191.513,3159.574,107.291,4045.166,1119.292,--undefined--,--undefined--
1.240109,4,308.688,86.936,2218.088,135.784,3164.839,124.138,4130.784,594.452,--undefined--,--undefined--
1.246359,4,305.934,67.789,2258.918,144.730,3195.742,213.522,4270.266,1134.425,--undefined--,--undefined--
1.252609,4,305.377,57.665,2266.832,171.997,3171.356,133.371,4126.009,1319.973,--undefined--,--undefined--
1.258859,4,309.383,74.158,2255.700,170.469,3157.847,120.403,4019.004,942.505,--undefined--,--undefined--
1.265109,4,310.493,81.093,2267.149,165.679,3148.530,109.168,4161.195,657.929,--undefined--,--undefined--
1.271359,4,312.906,84.645,2289.389,164.816,3087.171,96.837,4129.254,689.210,--undefined--,--undefined--
